Parent summary,Summary,Issue key,Issue Type,Status,Resolution,Assignee,Reporter,Creator,Description,Attachment,Attachment,Attachment,Attachment,Attachment,Comment,Comment,Comment,Parent summary,Status Category
Establish team online presence,Create team logo,GAME-25,Subtask,Done,Done,Josie Wood,Josie Wood,Josie Wood,,02/Nov/21 5:18 PM;ug:50d70c41-3ce4-4e9c-93fd-ea7a8187c956;friend-shaped.png;https://friend-shaped.atlassian.net/secure/attachment/10000/friend-shaped.png,,,,,"02/Nov/21 5:18 PM;70121:27f10fd2-eeaf-4dc8-818a-9f667c4cb1f2;!friend-shaped.png|width=512,height=512!

prototype logo made, needs refinement",,,Establish team online presence,Done
Establish team online presence,Create Twitter account,GAME-24,Subtask,Done,Done,Alex Pritchard,Josie Wood,Josie Wood,,,,,,,,,,Establish team online presence,Done
,Establish team online presence,GAME-23,Task,COMPLETED TASKS,,,Josie Wood,Josie Wood,Part of the module is to have an online presence for our team and project. We’ll have a website and a twitter account. ,,,,,,,,,,In Progress
,basic gameloop,GAME-16,Task,COMPLETED TASKS,,Alex Pritchard,Josie Wood,Josie Wood,"Each run through is limited by the amount of time players have before train enters another tunnel. 

Need to build a system to do this:

* game loop
* carry over items to next loop",,,,,,,,,,In Progress
,as a player I want a basic inventory,GAME-15,Task,COMPLETED TASKS,,Alex Pritchard,Josie Wood,Josie Wood,,,,,,,,,,,In Progress
Set up development environment,Set up inkle in unity project,GAME-13,Subtask,Done,Done,Alex Pritchard,Josie Wood,Josie Wood,,,,,,,,,,Set up development environment,Done
Set up development environment,Import Parallaxium,GAME-6,Subtask,Done,Done,Alex Pritchard,Josie Wood,Josie Wood,,,,,,,,,,Set up development environment,Done
Set up development environment,Create unity project,GAME-5,Subtask,Done,Done,Alex Pritchard,Josie Wood,Josie Wood,,,,,,,,,,Set up development environment,Done
Set up development environment,Create Github repo,GAME-4,Subtask,Done,Done,Alex Pritchard,Josie Wood,Josie Wood,,,,,,,,,,Set up development environment,Done
,Set up development environment,GAME-3,Task,COMPLETED TASKS,,Alex Pritchard,Josie Wood,Josie Wood,,,,,,,,,,,In Progress
,Set up project management,GAME-1,Task,COMPLETED TASKS,,Josie Wood,Josie Wood,Josie Wood,"Set up project management tools. This includes:
* Creating this Jira project
* Setting up labels
* Populating the backlog
",,,,,,,,,,In Progress
